D, Z, AEdAO, PdD, P_B, n,etaO,etaR, t075dD,tmin075dD, tal07R,cavLim, Vtip,Vtipmax, fitness, iteration, population i 
0.777708,7,1.050000,0.586122,116.088342,904.174431,0.346129,1.037541,0.009750,0.009364,0.093768,0.142916,36.818623,39.000000,116.088342,5,7
0.800000,3,0.533895,0.500000,109.829599,997.994421,0.364105,1.042989,0.014750,0.010972,0.132510,0.116046,41.803893,39.000000,133.308005,5,8
0.663612,2,1.050000,1.344543,135.225112,682.898944,0.310817,0.989571,0.016000,0.013573,0.378337,0.242042,23.728447,39.000000,211.370786,5,9
0.688352,5,0.426595,1.188815,136.924917,765.020741,0.304090,0.999421,0.012250,0.010662,0.615338,0.206359,27.572882,39.000000,408.293124,5,10
0.800000,4,0.591021,0.788045,108.431866,721.917219,0.375363,1.024770,0.013500,0.010545,0.243734,0.185376,30.239598,39.000000,142.567177,5,11
0.674246,2,0.687739,0.564874,136.841391,1308.940024,0.292648,1.038885,0.016000,0.013541,0.121797,0.096642,46.210083,39.000000,197.758989,5,12
0.683840,4,1.010999,0.635767,129.145362,1124.295347,0.311489,1.034401,0.013500,0.011362,0.107667,0.124084,40.256244,39.000000,133.305313,5,13
0.641346,3,0.752481,0.500000,141.576113,1524.196237,0.281542,1.042989,0.014750,0.012391,0.099111,0.076493,51.183709,39.000000,227.666566,5,14
0.704218,7,1.037250,1.400000,137.880459,611.704296,0.306176,0.986064,0.009750,0.009611,0.380390,0.254719,22.555243,39.000000,205.906663,5,15
0.707056,3,0.300000,0.500000,114.775357,1236.514365,0.347741,1.042989,0.014750,0.011521,0.253995,0.098335,45.777463,39.000000,316.406619,5,16
0.749350,2,1.050000,1.124299,125.096857,626.934972,0.331906,1.003502,0.016000,0.013203,0.257563,0.233347,24.598338,39.000000,138.079135,5,17
0.726133,2,0.358933,1.273232,149.849937,724.992137,0.279566,0.994082,0.016000,0.013078,0.671929,0.206414,27.564380,39.000000,487.799517,5,18
0.729548,6,0.553456,1.251379,130.583632,640.848879,0.320396,0.995464,0.011000,0.009926,0.540686,0.234502,24.479812,39.000000,301.083404,5,19
0.764413,3,1.050000,1.188815,124.121429,582.224817,0.335983,0.999421,0.014750,0.011707,0.279735,0.246397,23.303285,39.000000,140.915298,5,20
0.605054,3,0.427863,0.622415,133.138291,1453.831487,0.301390,1.035246,0.014750,0.012680,0.249559,0.097242,46.058195,39.000000,365.777832,5,21
0.653622,4,0.661737,0.710705,127.258407,1117.534453,0.317357,1.029662,0.013500,0.011585,0.203542,0.135086,38.246035,39.000000,191.748338,5,22
0.751541,2,0.300000,0.500000,107.109450,1157.609351,0.372972,1.042989,0.016000,0.012183,0.226230,0.099228,45.552586,39.000000,262.194285,5,23
0.779472,4,0.957513,1.225379,125.464568,556.256985,0.333252,0.997108,0.013500,0.010780,0.313268,0.252992,22.702549,39.000000,155.356498,5,24
