D,AEdAO,PdD,Z,P_B,n,fitness,t075dD,tmin075dD,tal07R,cavLim,Vtip,Vtipmax,penalty,valid,seed,iteration
0.800000,0.386449,0.5,6.0,144.191146,991.147277,277.163281,0.011,0.009919,0.217963,0.117333,41.51708,39.0,0.9221849947650635,0.0,5,4
0.653159,0.665149,1.00129,7.0,166.144204,931.89121,365.652787,0.00975,0.010657,0.368219,0.17404,31.870033,39.0,1.200823157680799,0.0,5,4
0.579005,0.421814,0.870321,4.0,183.955004,1376.570799,679.621953,0.0135,0.012832,0.421549,0.116308,41.732964,39.0,2.6944956443924752,0.0,5,4
0.546186,0.876215,0.90398,3.0,207.12249,1447.423561,424.239263,0.01475,0.014668,0.234466,0.118007,41.393744,39.0,1.0482601853927396,0.0,5,4
0.593395,0.529504,0.517223,4.0,172.802427,1770.532453,525.921483,0.0135,0.012321,0.168856,0.064132,55.010588,39.0,2.0434724492976826,0.0,5,4
0.800000,0.492514,0.635598,7.0,140.178263,850.855387,223.671393,0.00975,0.009661,0.238985,0.149776,35.640547,39.0,0.5956161200726419,0.0,5,4
0.520450,0.3,1.001152,5.0,207.438518,1583.607542,1381.801125,0.01225,0.012711,0.71441,0.109598,43.154414,39.0,5.661249601469715,0.0,5,4
0.586451,0.3,0.685702,7.0,180.695101,1457.884979,895.348526,0.00975,0.011184,0.479131,0.102401,44.766533,39.0,3.9550466834613234,0.0,5,4
0.616186,0.821743,0.5,4.0,181.256629,1738.27177,365.378862,0.0135,0.012201,0.096529,0.06118,56.082613,39.0,1.015802576399192,0.0,5,4
0.637096,0.632566,0.650627,7.0,164.074241,1271.903875,335.98135,0.00975,0.010693,0.211401,0.112948,42.428527,39.0,1.0477660909157203,0.0,5,4
0.624638,0.405615,1.3528,6.0,202.28612,940.142693,875.109417,0.011,0.010913,0.785485,0.181569,30.748267,39.0,3.326096415136945,0.0,5,4
0.598354,0.767123,0.731784,5.0,172.658761,1369.532743,325.843973,0.01225,0.011951,0.197888,0.110736,42.907118,39.0,0.887207509208318,0.0,5,4
0.798449,0.361272,1.009476,7.0,141.926721,659.691866,411.157486,0.00975,0.009635,0.596483,0.205899,27.57955,39.0,1.8969689022287626,0.0,5,4
0.800000,0.840646,1.374142,5.0,163.447816,541.018323,268.476173,0.01225,0.010283,0.41536,0.25287,22.662123,39.0,0.6425831454897775,0.0,5,5
0.514901,0.372275,1.058478,3.0,228.234952,1617.749897,1270.329757,0.01475,0.014759,0.585378,0.107469,43.614818,39.0,4.56588595591327,0.0,5,5
0.783155,1.012146,1.228582,7.0,151.681464,579.449152,198.124652,0.00975,0.009716,0.314996,0.241157,23.760841,39.0,0.3061864262700232,0.0,5,5
0.572038,0.3,0.643454,7.0,185.492292,1579.823593,967.454746,0.00975,0.011314,0.446907,0.091879,47.318648,39.0,4.215616588692232,0.0,5,5
0.639638,0.980021,0.5,5.0,179.598329,1626.433399,288.504204,0.01225,0.011377,0.079447,0.065676,54.471457,39.0,0.6063848831841161,0.0,5,5
0.500000,0.37869,1.27316,3.0,261.599786,1574.062861,1615.693337,0.01475,0.014867,0.727031,0.118957,41.208869,39.0,5.176220081029444,0.0,5,5
0.800000,0.3,0.5,2.0,129.073403,1116.429859,329.144766,0.016,0.012288,0.221793,0.094342,46.764905,39.0,1.5500466843519132,0.0,5,5
0.685328,0.604298,1.005441,3.0,175.843748,914.286501,364.081808,0.01475,0.01297,0.347223,0.167701,32.807993,39.0,1.0704885480706736,0.0,5,5
0.569333,0.7906,0.580521,4.0,184.624919,1799.559338,425.200128,0.0135,0.012762,0.131402,0.068171,53.645192,39.0,1.303052912503211,0.0,5,5
0.581425,0.678109,0.596529,5.0,174.658934,1651.399529,417.165601,0.01225,0.011932,0.167609,0.079837,50.274125,39.0,1.388470135344675,0.0,5,5
0.739504,0.826006,1.4,4.0,178.96989,624.051502,334.078644,0.0135,0.011266,0.442665,0.237141,24.163475,39.0,0.8666742570875555,0.0,5,5
0.605815,0.489787,1.164742,5.0,194.589734,1055.960036,660.802686,0.01225,0.011881,0.553864,0.163099,33.49545,39.0,2.395876124317133,0.0,5,5
0.500000,0.551615,0.5,4.0,201.436986,2498.894812,913.735105,0.0135,0.013374,0.162223,0.042042,65.420913,39.0,3.5360530948575235,0.0,5,5
0.800000,1.021064,1.095616,7.0,145.057669,594.87097,165.541496,0.00975,0.009727,0.262328,0.229868,24.917897,39.0,0.14121147789165964,0.0,5,5
0.800000,0.490575,0.955368,7.0,138.965283,665.374974,288.476431,0.00975,0.009663,0.422352,0.203456,27.871162,39.0,1.0758886442277447,0.0,5,5
