D, Z, AEdAO, PdD, P_B, n,etaO,etaR, t075dD,tmin075dD, tal07R,cavLim, Vtip,Vtipmax, fitness, iteration, population i 
0.800000,2,0.410045,0.756961,110.439485,796.294101,0.367840,1.026736,0.016000,0.012367,0.287340,0.164182,33.355089,39.000000,193.283169,5,18
0.657013,7,0.361481,0.675696,129.168560,1092.922814,0.312020,1.031876,0.009750,0.010205,0.378004,0.138567,37.597769,39.000000,358.124977,5,19
0.800000,5,0.499741,0.730068,105.822685,743.851128,0.383227,1.028437,0.012250,0.009961,0.267770,0.178925,31.158363,39.000000,158.368955,5,20
0.756539,5,0.731913,1.025802,119.150160,661.429187,0.346368,1.009732,0.012250,0.010371,0.311639,0.218696,26.200724,39.000000,169.787981,5,21
0.789809,7,1.050000,0.910733,113.511787,633.913723,0.361208,1.017010,0.009750,0.009491,0.192468,0.218539,26.215053,39.000000,113.511787,5,22
0.800000,3,0.618026,0.581433,110.053012,906.064331,0.365157,1.037838,0.014750,0.011113,0.141374,0.136607,37.953134,39.000000,113.893795,5,23
0.708938,5,0.858576,0.592006,120.064916,1075.616045,0.334306,1.037169,0.012250,0.010469,0.118373,0.125896,39.926744,39.000000,122.917980,5,24
0.677913,2,0.713846,0.630497,136.363802,1195.178709,0.294855,1.034735,0.016000,0.013660,0.139734,0.113087,42.423374,39.000000,180.465514,5,25
0.756225,3,0.468071,0.916236,120.601072,758.311546,0.339861,1.016662,0.014750,0.011686,0.362484,0.186958,30.025974,39.000000,233.827166,5,26
0.800000,7,0.987204,0.503378,116.197473,964.232647,0.344220,1.042775,0.009750,0.009150,0.076782,0.123337,40.389683,39.000000,120.337924,5,27
0.800000,3,0.719961,0.727990,112.776464,775.361243,0.359559,1.028568,0.014750,0.011354,0.171200,0.170209,32.478256,39.000000,113.432665,5,28
0.800000,7,1.032960,1.057832,113.751237,561.959443,0.363868,1.007706,0.009750,0.009392,0.244603,0.243889,23.539302,39.000000,114.084205,5,29
0.800000,6,0.300000,0.826100,108.889274,690.516209,0.374666,1.022363,0.011000,0.009613,0.529186,0.195331,28.924275,39.000000,295.000776,5,30
best fit at iteration 5,107.607169
0.704476,5,0.965922,0.500000,131.650225,1258.157481,0.303148,1.042989,0.012250,0.010481,0.077350,0.095873,46.408730,39.000000,156.659482,6,1
0.800000,6,1.050000,0.652563,111.184247,801.598911,0.363035,1.033339,0.011000,0.009599,0.107867,0.162714,33.577297,39.000000,111.184247,6,2
0.800000,5,0.598624,0.735307,105.962627,738.610547,0.382862,1.028105,0.012250,0.009972,0.226971,0.180427,30.938846,39.000000,133.297878,6,3
0.659009,5,0.890410,0.796317,127.535047,997.282365,0.318376,1.024247,0.012250,0.011044,0.187334,0.157425,34.411871,39.000000,151.765154,6,4
0.730307,7,1.050000,0.785779,120.247234,810.683573,0.337943,1.024913,0.009750,0.009814,0.157574,0.180033,30.999557,39.000000,121.027777,6,5
0.800000,5,0.643955,1.400000,130.459156,509.820689,0.324218,0.986064,0.012250,0.009799,0.523556,0.269099,21.355319,39.000000,253.820060,6,6
0.800000,4,0.913486,0.500000,123.475206,1017.363644,0.323872,1.042989,0.013500,0.010468,0.074552,0.112165,42.615229,39.000000,134.921132,6,7
0.800000,4,0.891671,0.618863,112.165477,856.657968,0.359116,1.035471,0.013500,0.010487,0.110485,0.148468,35.883605,39.000000,112.165477,6,8
0.685610,5,1.050000,0.688246,125.294362,1034.985533,0.322107,1.031082,0.012250,0.010780,0.122448,0.141020,37.154404,39.000000,125.294362,6,9
0.650856,7,0.997000,1.122201,137.542786,797.119417,0.301207,1.003634,0.009750,0.010316,0.298429,0.209927,27.164839,39.000000,203.072739,6,10
0.800000,6,0.899635,0.500000,115.353663,970.285055,0.346690,1.042989,0.011000,0.009458,0.083150,0.121981,40.643205,39.000000,120.213913,6,11
0.800000,7,1.050000,1.055130,113.946874,562.855591,0.363165,1.007877,0.009750,0.009398,0.239710,0.243501,23.576840,39.000000,113.946874,6,12
0.697090,7,0.789079,0.722712,120.458524,930.637608,0.335812,1.028902,0.009750,0.009924,0.189625,0.160213,33.967871,39.000000,144.687547,6,13
0.691636,7,0.553000,0.500000,127.503206,1191.615844,0.312945,1.042989,0.009750,0.009856,0.162096,0.109691,43.153148,39.000000,203.365984,6,14
0.717470,7,0.620976,0.701575,117.400339,900.301545,0.344244,1.030239,0.009750,0.009774,0.227815,0.161151,33.821298,39.000000,166.259592,6,15
0.800000,7,0.873100,1.098490,112.919613,550.936331,0.367480,1.005134,0.009750,0.009334,0.304171,0.248814,23.077567,39.000000,138.042436,6,16
0.800000,7,0.951043,0.742488,109.990825,713.045172,0.368983,1.027651,0.009750,0.009359,0.153387,0.188107,29.867966,39.000000,109.990825,6,17
0.800000,7,0.837597,0.546772,112.279092,886.456326,0.357161,1.040030,0.009750,0.009206,0.108007,0.141120,37.131796,39.000000,112.279092,6,18
0.657013,3,0.599668,0.675696,129.425029,1174.826381,0.311401,1.031876,0.014750,0.012384,0.197492,0.123228,40.415344,39.000000,212.119987,6,19
0.800000,5,0.363556,0.730068,106.264199,748.425276,0.381639,1.028437,0.012250,0.009956,0.363662,0.177639,31.349965,39.000000,217.543648,6,20
0.756539,7,0.731913,0.500000,118.820140,1032.189576,0.336246,1.042989,0.009750,0.009416,0.113325,0.120703,40.887392,39.000000,124.570402,6,21
0.704161,7,1.050000,0.910733,125.002946,782.907862,0.327438,1.017010,0.009750,0.010018,0.201914,0.195819,28.865660,39.000000,132.233049,6,22
0.800000,6,0.618026,0.612966,107.269157,817.030927,0.375359,1.035844,0.011000,0.009534,0.174771,0.158558,34.223711,39.000000,118.237723,6,23
0.708938,7,0.858576,0.647243,119.996726,976.023609,0.335640,1.033675,0.009750,0.009803,0.145432,0.146393,36.229885,39.000000,120.644771,6,24
0.677913,3,0.713846,0.617198,128.352942,1178.298621,0.313013,1.035576,0.014750,0.012172,0.143257,0.115968,41.824208,39.000000,167.850980,6,25
0.756225,7,1.050000,0.916236,117.737601,683.644665,0.348142,1.016662,0.009750,0.009685,0.198011,0.210717,27.069477,39.000000,117.737601,6,26
0.800000,2,0.613301,0.500000,118.354256,1046.471395,0.337895,1.042989,0.016000,0.012232,0.105001,0.106538,43.834491,39.000000,133.025605,6,27
